Name,E-Mail,Department,Office,Phone
Romulus Yu'ub,rty8@psu.edu,English,Franco 155,610-396-6405
Vulcanus Cloudraker,vrb14@psu.edu,Information Sciences and Technology,Gaige 217,610-396-6175
Paul Menard,jpm27@psu.edu,Mathematics,Luerssen 212A,610-396-6161
Quincy Buescher,qtb4@psu.edu,Mathematics,Gaige 314,610-396-6378
Nikephoros Colt,nbc107@psu.edu,English,Franco 152,610-396-6433
Ryusuke Arimatsu,rya18@psu.edu,Information Sciences and Technology,Gaige 271,610-396-6353
Astraaea Galvatron,akg33@psu.edu,English,Franco 144,610-396-6409
Soundwave Branson,skb193@psu.edu,Information Sciences and Technology,Gaige 211,610-396-6349
Orion Colburn,oic57@psu.edu,Information Sciences and Technology,Gaige 216,610-396-6276
Apollo Buckley,akb176@psu.edu,English,Franco 157,610-396-6367
